,campaign_id,chain_id,start_date,end_date,format,device,height,width,iremoteid,days,start_day,end_day,shop,budget
1916,8963,12,2019-07-21,2019-07-24,banner,DESKTOP,200.0,995.0,['31834'],5.0,7.0,3.0,0.0,3579.3441772460938
2423,11875,11,2020-09-01,2020-09-05,butterfly,DESKTOP,486.0,278.0,['C75204'],6.0,2.0,6.0,0.0,5251.78125
4795,25899,11,2020-10-29,2020-11-24,butterfly,DESKTOP,488.0,265.0,['CB9645'],28.0,4.0,2.0,0.0,9814.411865234377
6719,25458,10,2020-12-09,2020-12-15,banner,DESKTOP,150.0,1200.0,['C111392'],8.0,3.0,2.0,0.0,11428.57142857143
6353,35293,12,2019-11-14,2019-12-26,banner,DESKTOP,200.0,995.0,['34341'],44.0,4.0,4.0,0.0,9328.32293701172
488,890,12,2020-11-02,2020-12-26,butterfly,DESKTOP,298.0,398.0,['C102891'],56.0,1.0,6.0,0.0,18229.2783203125
5989,33145,7,2020-10-24,2020-11-23,butterfly,DESKTOP,394.0,576.0,['84006'],32.0,6.0,1.0,0.0,9777.4990234375
7191,11331,11,2021-02-17,2021-04-04,showcase,DESKTOP,472.0,1047.0,['128838'],48.0,3.0,7.0,0.0,109714.28571428572
99,122,10,2020-08-24,2020-09-20,butterfly,DESKTOP,420.0,574.0,"['C77069', 'C77080']",29.0,1.0,7.0,0.0,9686.66729736328
1422,5962,11,2020-11-24,2020-11-30,stoprayon,DESKTOP,250.0,1063.0,['eveillez_vos_sens_avec_glade_s48'],8.0,2.0,1.0,0.0,6630.34619140625
4831,26122,12,2021-03-16,2021-03-28,banner,DESKTOP,200.0,995.0,['135115'],14.0,2.0,7.0,0.0,9381.358642578123
7344,16690,11,2020-04-04,2020-04-29,showcase,DESKTOP,472.0,1061.0,['52209'],27.0,6.0,3.0,0.0,61714.28571428572
667,1416,12,2019-06-10,2019-07-12,banner,DESKTOP,200.0,995.0,['30030'],34.0,1.0,5.0,0.0,9847.043518066406
1682,7532,12,2021-02-28,2021-04-03,butterfly,DESKTOP,298.0,398.0,['C130789'],36.0,7.0,6.0,0.0,16850.050048828125
3376,17338,11,2021-08-24,2021-08-25,butterfly,DESKTOP,486.0,531.0,['C172120'],3.0,2.0,3.0,0.0,2202.3898315429688
338,681,12,2021-02-09,2021-02-28,tg,DESKTOP,298.0,796.0,"['C126068', 'C126072']",21.0,2.0,7.0,0.0,10789.131958007812
2488,12271,11,2021-07-30,2021-09-26,butterfly,DESKTOP,486.0,531.0,['C167380'],60.0,5.0,7.0,0.0,12244.645385742188
4448,23809,12,2021-03-30,2021-05-02,butterfly,DESKTOP,298.0,398.0,['C138788'],35.0,2.0,7.0,0.0,13242.113494873049
4756,25685,12,2021-07-08,2021-08-14,banner,DESKTOP,200.0,995.0,['162663'],39.0,4.0,6.0,0.0,13896.020874023438
5969,33009,10,2021-08-12,2021-10-04,butterfly,DESKTOP,399.0,555.0,['C167196'],55.0,4.0,1.0,0.0,11767.973251342772
6866,541,11,2021-05-20,2021-06-11,showcase,DESKTOP,494.0,1063.0,['150401'],24.0,4.0,5.0,0.0,54857.142857142855
5985,33134,11,2021-05-22,2021-05-29,stoprayon,DESKTOP,145.0,1063.0,['heineken'],9.0,6.0,6.0,0.0,7820.259521484375
1606,7004,12,2020-04-28,2020-05-02,tg,DESKTOP,298.0,398.0,['C54518'],6.0,2.0,6.0,0.0,4830.162963867188
4054,21546,7,2020-10-26,2020-10-26,butterfly,DESKTOP,394.0,576.0,['99301'],2.0,1.0,1.0,0.0,833.3123168945312
6285,34946,12,2020-01-20,2020-02-01,banner,DESKTOP,200.0,995.0,['44317'],14.0,1.0,6.0,0.0,9649.830688476562
1261,5028,11,2019-09-29,2019-10-25,butterfly,DESKTOP,486.0,277.0,['C32890'],28.0,7.0,5.0,0.0,10046.012573242188
359,712,12,2020-02-04,2020-02-05,stoprayon,DESKTOP,122.0,995.0,"['C45699', 'C45757']",3.0,2.0,3.0,0.0,2057.8143310546875
6008,33229,7,2019-11-13,2019-12-18,butterfly,DESKTOP,350.0,494.0,['C37008'],37.0,3.0,3.0,0.0,6148.305740356445
3101,15794,11,2021-07-02,2021-07-09,butterfly,DESKTOP,498.0,532.0,['C161234'],9.0,5.0,5.0,0.0,5999.4349365234375
7047,6725,11,2021-06-02,2021-06-29,showcase,DESKTOP,494.0,1063.0,['153556'],29.0,3.0,2.0,0.0,66285.71428571429
2622,12895,12,2021-09-23,2021-09-27,tg,DESKTOP,298.0,398.0,['C174259'],6.0,4.0,1.0,0.0,3738.132568359375
7542,23740,11,2020-11-19,2020-12-02,showcase,DESKTOP,472.0,1047.0,['108187'],15.0,4.0,3.0,0.0,34285.71428571429
1380,5772,12,2020-07-31,2020-09-20,butterfly,DESKTOP,298.0,398.0,['C75724'],53.0,5.0,7.0,0.0,9845.071060180664
6944,3434,11,2021-03-02,2021-03-22,showcase,DESKTOP,438.0,266.0,['132223'],22.0,2.0,1.0,0.0,50285.71428571429
